product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Керчь,1318,299,Напитки,"Отличается высоким содержанием витамина E, необходимого для защиты клеточных мембран.",2022-01-21,2026-01-25,2.1,On Backorder
2,Катык,5236,134,Молочные продукты,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",2009-07-18,2027-04-01,1.53,Sold
3,Пакеты для Дня отца,1759,293,Товары для дома,"Помогает поддерживать нормальный уровень глюкагона, гормона, регулирующего уровень глюкозы в крови.",2016-06-03,2019-08-07,4.29,Available for Pickup
4,Каша из дробленной ржаной крупы,1499,164,Бакалея,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2021-06-03,2030-01-18,2.39,New
5,Реутовская,1643,597,Напитки,Может использоваться в косметических процедурах для увлажнения кожи.,1994-08-12,2005-10-01,4.14,Pending
6,Эмменталь,677,204,Молочные продукты,"Помогает поддерживать нормальный уровень норадреналина, гормона, влияющего на настроение и поведение.",2015-01-01,2015-03-10,1.74,Pending
7,Боржоми,4876,582,Напитки,"Помогает поддерживать нормальный уровень цистеина, аминокислоты, участвующей в синтезе глутатиона.",2021-01-23,2023-10-10,4.07,Pending
8,Чебуреки,9620,204,Мясо,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",1996-04-09,2015-09-08,3.37,Awaiting Review
9,Лимон,3035,269,Фрукты,Подходит для использования в рецептах традиционной кухни разных стран.,2002-05-08,2026-02-01,2.06,Delivered
10,Мультиварка,7531,685,Товары для дома,"Является источником антиоксидантов, замедляющих процессы старения.",2008-04-03,2027-01-11,1.84,Out of Stock
11,Папайя,2749,749,Фрукты,"Помогает поддерживать нормальный уровень глюкагона, гормона, регулирующего уровень глюкозы в крови.",2004-01-05,2029-09-19,1.93,In Stock
12,Топлёное молоко,7132,944,Молочные продукты,Служит основой для создания множества кулинарных шедевров.,2022-03-01,2026-01-02,1.56,On Backorder
13,Тартар,7113,385,Мясо,"Отличается высоким содержанием антоцианов, пигментов, обладающих антиоксидантными и противовоспалительными свойствами.",2001-01-09,2028-02-13,1.45,In Stock
14,Капуста белокочанная,489,111,Овощи,"Отличается высоким содержанием биотина, необходимого для здоровья волос, кожи и ногтей.",1997-02-06,2030-02-12,2.33,New
15,Оленина,8176,694,Мясо,Помогает поддерживать нормальный уровень энергии и выносливости.,2014-01-02,2025-09-21,2.2,Temporarily Unavailable
16,Ивантеевская,8259,200,Напитки,Может быть использован в выпечке для придания ей особой пышности и аромата.,2016-02-09,2029-02-23,3.76,Backorder
17,Яблоко,6725,282,Фрукты,"Помогает поддерживать нормальный уровень глюкагона, гормона, регулирующего уровень глюкозы в крови.",2000-03-12,2019-04-02,4.01,Cancelled
18,Каша из дробленой ячменя,550,637,Бакалея,Широко используется в традиционной и современной кухне.,1992-02-05,2018-09-13,2.67,New
19,Пакеты для уборки,8713,55,Товары для дома,Может использоваться в косметических процедурах для увлажнения кожи.,2009-06-05,2025-05-05,2.06,Cancelled
20,Штопоры,5405,16,Товары для дома,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",1999-09-11,2011-01-05,3.87,Returned
21,Источник Троицкий,6143,320,Напитки,Может использоваться в вегетарианской диете как источник белка.,2007-02-03,2008-02-02,4.36,On Backorder
