product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Каша из дробленной ржаной крупы,4916.0,603,Бакалея,Отличается способностью повышать общий тонус и работоспособность.,2002-07-13,2007-02-03,1.72,Shipping
2,Кухонные ножи,5771.0,757,Товары для дома,"Подходит для использования в диетах, направленных на снижение веса.",2000-02-08,2001-04-04,4.37,Temporarily Unavailable
3,Пельмени,3191.0,253,Мясо,Является неотъемлемой частью рациона многих народов мира.,2003-09-03,2013-10-01,1.09,Out of Stock
4,Шаверма,4592.0,37,Мясо,"Отличается высоким содержанием капсаицина, вещества, ускоряющего метаболизм и уменьшающего боль.",2018-01-07,2025-07-09,3.26,Awaiting Payment
5,Брюква,1940.0,449,Овощи,Отличается стабильностью вкуса и качества в течение всего срока хранения.,1992-01-05,1998-03-17,3.81,Backorder
6,Топинамбур,1516.0,60,Овощи,Помогает поддерживать нормальный уровень холестерина в крови.,2022-03-15,2027-03-01,1.18,Cancelled
7,Гранат,2709.0,335,Фрукты,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,2000-08-05,2024-02-14,4.03,Out of Stock
8,Кесадилья с мясом,3052.0,655,Мясо,Подходит для использования в специализированных диетах и лечебных программах.,1998-05-11,2027-10-15,1.94,On Backorder
9,Подставки под горячие блюда,1786.0,514,Товары для дома,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2021-05-04,2029-05-01,2.2,Backorder
10,Кондиционер для волос,5852.0,98,Товары для дома,Может использоваться в вегетарианской диете как источник белка.,2008-02-01,2020-02-01,1.83,Temporarily Unavailable
11,Пакеты для Рождества,3663.0,309,Товары для дома,Способствует поддержанию нормальной микрофлоры кишечника.,2011-05-02,2024-09-18,3.56,On Backorder
12,Шубат,3753.0,619,Молочные продукты,Прошел все необходимые сертификации и соответствует международным стандартам.,1997-01-01,2009-03-14,4.69,Shipping
13,Капуста белокочанная,6803.0,272,Овощи,Помогает нормализовать артериальное давление и уровень холестерина.,2016-02-01,2016-08-08,0.38,Available for Pickup
14,Куркума молотая,2505.0,767,Бакалея,"Отличается высоким содержанием лютеолина, флавоноида, обладающего противовоспалительными свойствами.",2004-01-07,2021-05-03,3.94,Awaiting Review
15,Пакеты для охоты,1155.0,36,Товары для дома,Прошел строгий контроль качества на всех этапах производства.,2019-03-01,2025-08-01,1.21,Available for Pickup
16,Пушкинская,334.0,857,Напитки,"Отличается высоким содержанием марганца, необходимого для здоровья костей и соединительных тканей.",2021-01-03,2026-06-07,1.74,Out of Stock
17,Турнепс,3077.0,756,Овощи,Представляет собой ценный источник питательных веществ для растущего организма.,2006-07-16,2020-03-16,1.08,Delivered
18,Пакеты бумажные,9720.0,154,Товары для дома,Улучшает настроение и общее самочувствие благодаря содержанию триптофана.,2022-05-15,2027-02-02,1.83,Returned
19,Каша из дробленого кускуса,6707.0,622,Бакалея,"Отличается высоким содержанием антоцианов, пигментов, обладающих антиоксидантными и противовоспалительными свойствами.",2007-01-01,2015-10-05,1.28,Returned
20,Орегано сушеный,6494.0,875,Бакалея,Помогает поддерживать нормальный уровень гемоглобина в крови.,2012-09-01,2021-03-04,4.26,Out of Stock
21,Сельдерей,4827.0,766,Овощи,"Отличается высоким содержанием витамина E, необходимого для защиты клеточных мембран.",2005-05-02,2017-09-26,0.07,Pending
22,Каша из дробленной овсянки,4627.0,345,Бакалея,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",1998-03-04,2028-01-20,4.6,Backorder
23,Малина,8045.0,460,Фрукты,"Отличается высоким содержанием кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2015-01-16,2019-01-05,3.46,Awaiting Payment
24,Донер-кебаб,5433.0,940,Мясо,"Помогает поддерживать нормальный уровень куркумина, вещества, обладающего противовоспалительными и антиоксидантными свойствами.",2007-04-05,2010-05-14,3.34,On Backorder
25,Матча латте,8224.0,509,Напитки,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",2001-02-05,2021-01-06,2.16,Returned
26,Язык,7793.0,986,Мясо,Помогает поддерживать нормальный уровень гомоцистеина в крови.,2014-01-08,2026-01-05,0.77,Awaiting Payment
27,Кунжут черный,7627.0,122,Бакалея,"Помогает поддерживать нормальный уровень куркумина, вещества, обладающего противовоспалительными и антиоксидантными свойствами.",1999-02-08,2024-02-11,0.75,Refunded
28,Каша из дробленой булгура,5093.0,140,Бакалея,Отличается низкой вероятностью возникновения побочных эффектов при употреблении.,1998-05-15,2028-03-01,2.97,Out of Stock
29,Пакеты для садовых работ,8205.0,795,Товары для дома,Способствует поддержанию нормальной микрофлоры кишечника.,2012-02-14,2021-01-02,1.79,Out of Stock
30,Тимьян сушеный,564.0,52,Бакалея,"Является источником антиоксидантов, замедляющих процессы старения.",1998-04-04,2028-05-11,1.39,Cancelled
31,Пакеты для уборки,1855.0,409,Товары для дома,Подходит для использования в качестве замены традиционных молочных продуктов.,2016-02-01,2023-01-03,4.99,Returned
32,Сковороды,8149.0,725,Товары для дома,Помогает укреплять стенки сосудов и улучшать кровообращение.,2007-10-04,2022-02-02,4.07,New
33,Черника,4585.0,391,Фрукты,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",2004-01-21,2020-09-22,1.92,On Backorder
34,Верблюжье молоко,4268.0,508,Молочные продукты,"Отличается высоким содержанием олигосахаридов, полезных для здоровья кишечника и иммунной системы.",2013-02-01,2020-07-13,4.96,New
35,Чеддер,7337.0,441,Молочные продукты,"Отличается высоким содержанием альфа-липоевой кислоты, мощного антиоксиданта.",1995-03-06,2002-02-10,2.69,Returned
36,Рагу,176.0,804,Мясо,Помогает поддерживать оптимальный вес и форму тела.,1990-02-03,2009-05-14,2.5,Pending
37,Карпаччо,9533.0,542,Мясо,Служит основой для создания множества кулинарных шедевров.,2006-01-18,2019-04-01,3.73,Backorder
